Metric,Value
Data Start,1962-01-01
Data End,2026-01-05
Total Days,23381
Detected Chandler Period (days),433.0
Mean Chandler Amplitude (mas),55352025591883957156460394287728835132013156372508999687942286025632810682295723185494524436129635602191614965045264741952362915169865973620933010720292864.0
Min Chandler Amplitude (mas),7425008944856112827136541767963282995590662666993943761277752598104010855064036452709089958948765696.0
Max Chandler Amplitude (mas),5190641501050741754945370096069321728379744262447194445333106362686372929854940992100575477084003950917646580808144557773789045424112893326317775736738414592.0
Mean Annual Amplitude (mas),73910351542761622398192968700045563814490126277150333336467066488945879972204433352163328.0
Polar Drift Rate (mas/yr),3.6
Polar Drift Direction,51.0° from x-axis
